record_id,season_end_year,player,squad,comp,primary_position,age,min_playing,position_group,kmeans_cluster,gmm_cluster,hdbscan_cluster,hierarchical_cluster,dbscan_cluster,ensemble_cluster,kmeans_role,gmm_role,hdbscan_role
0,2018,Martin Agirregabiria,Alavés,La Liga,DF,21.0,1828.0,DEF,1,1,7,0,-1,1,Balanced Defender,Balanced Defender,Crossing Fullback/Progressive Fullback
1,2018,Alexis,Alavés,La Liga,DF,31.0,2184.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
2,2018,Burgui,Alavés,La Liga,MF,23.0,1034.0,MID,0,1,1,2,-1,0,Balanced Midfielder,Balanced Midfielder,Balanced Midfielder
3,2018,Rubén Duarte,Alavés,La Liga,DF,21.0,2138.0,DEF,0,1,6,1,-1,1,Crossing Fullback,Balanced Defender,Crossing Fullback/Pressing
4,2018,Rodrigo Ely,Alavés,La Liga,DF,23.0,2691.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
5,2018,Manu García,Alavés,La Liga,MF,31.0,2439.0,MID,1,2,1,0,-1,0,Defensive/Pressing Midfielder,Pressing Midfielder/Defensive,Balanced Midfielder
6,2018,Ibai Gómez,Alavés,La Liga,MF,27.0,2319.0,MID,2,0,0,1,-1,0,Crossing/Playmaker,Crossing/Attacking Midfielder,Crossing
7,2018,John Guidetti,Alavés,La Liga,FW,25.0,1222.0,FWD,1,1,-1,1,-1,1,Balanced Forward,Balanced Forward,Unassigned/Noise
8,2018,Munir El Haddadi,Alavés,La Liga,FW,21.0,2444.0,FWD,0,0,-1,0,-1,0,Crossing Winger,Crossing Winger,Unassigned/Noise
9,2018,Víctor Laguardia,Alavés,La Liga,DF,27.0,1530.0,DEF,1,1,0,0,-1,1,Balanced Defender,Balanced Defender,Defensive Defender
10,2018,Guillermo Maripán,Alavés,La Liga,DF,23.0,1528.0,DEF,1,1,0,0,-1,1,Balanced Defender,Balanced Defender,Defensive Defender
11,2018,Álvaro Medrán,Alavés,La Liga,MF,23.0,947.0,MID,0,1,1,2,-1,0,Balanced Midfielder,Balanced Midfielder,Balanced Midfielder
12,2018,Fernando Pacheco,Alavés,La Liga,GK,25.0,3358.0,GK,0,2,0,1,-1,0,Shot-Stopper/Pressing,Shot-Stopper/Pressing,Shot-Stopper
13,2018,Alfonso Pedraza,Alavés,La Liga,MF,21.0,2440.0,MID,2,1,1,1,-1,1,Crossing/Playmaker,Balanced Midfielder,Balanced Midfielder
14,2018,Tomás Pina Isla,Alavés,La Liga,MF,29.0,2387.0,MID,1,1,1,0,-1,1,Defensive/Pressing Midfielder,Balanced Midfielder,Balanced Midfielder
