Fecha,Exportaciones por grupo de productos de Amazonas (Valores FOB en millones US$) - Productos tradicionales,Tasas de interés de bonos del gobierno peruano - Rendimiento del Bono del gobierno peruano a 10 años (en S/),Producto bruto interno y demanda interna (índice 2007=100) - PBI
Abr.2017,0.08471183,5.87055555555556,156.750521281354
Abr.2018,0.11294872,5.0242,169.427385648106
Abr.2019,0.67159843,5.2158,169.40324248576
Abr.2020,0.70511742,5.0255,102.933967274854
Abr.2021,1.08902936,5.09,164.528754687291
Abr.2022,0.44634567,7.37315789473684,171.174074153034
Ago.2017,5.60340302,5.46204347826087,162.638419984172
Ago.2018,4.22205067,5.4252380952381,166.411945209936
Ago.2019,3.57389798,4.228985,172.594208819086
Ago.2020,6.34753193,4.06714285714286,156.899238957375
Ago.2021,4.94768431,6.35523809523809,175.617543330606
Ago.2022,8.82011313,7.90872727272727,179.133558502871
Dic.2017,4.24553725,5.24947368421053,178.825310532292
Dic.2018,3.7735955,5.74363157894737,187.233786163601
Dic.2019,5.26570142,4.3559380952381,189.602346000695
Dic.2020,4.63857188,3.63264285714286,191.726839186345
Dic.2021,6.28848473,5.92563636363636,195.53343086967
Ene.2017,1.6645847,6.35095454545454,150.275604407979
Ene.2018,2.34610295,4.81809523809524,154.59604808363
Ene.2019,1.72431253,5.58772727272727,157.180927952755
Ene.2020,0.94304752,4.50230909090909,162.433285683453
Ene.2021,2.84844751,3.658,160.782545672125
Ene.2022,4.83923948,6.07457142857143,165.674028229534
Feb.2017,0.80674352,6.26035,147.460264691438
Feb.2018,1.65137057,4.7945,151.467721845646
Feb.2019,1.56298808,5.4945,154.602376655104
Feb.2020,0.45359779,4.258095,161.760051048975
Feb.2021,1.2509244,3.9115,155.538887408118
Feb.2022,4.10733643,6.071,163.034306003839
Jul.2017,2.02644823,5.65947368421053,162.285956839843
Jul.2018,3.71851498,5.48476190476191,166.518524959883
Jul.2019,3.6729007,4.4401,173.056618693559
Jul.2020,3.23165164,4.24045454545455,154.096256095692
Jul.2021,5.32227768,5.6647,174.497764789815
Jul.2022,5.32066745,8.21631578947368,177.968219695729
Jun.2017,2.50925222,5.57905,162.16716287188
Jun.2018,2.09657917,5.6626,165.529920267256
Jun.2019,2.26812547,4.81719,170.183938966446
Jun.2020,1.19782592,4.39,139.466866024592
Jun.2021,2.32926949,5.27323809523809,172.054469698445
Jun.2022,4.40231277,7.858,178.453979763994
Mar.2017,0.164386,6.09739130434783,155.399138548545
Mar.2018,0.4895693,4.845,161.435908825029
Mar.2019,0.17665269,5.29923809523809,166.882755643696
Mar.2020,0.36703958,5.08725909090909,137.573684753811
Mar.2021,0.65900494,4.68608695652174,164.855701359541
Mar.2022,1.87402442,6.59782608695652,171.25855051669
May.2017,1.4350927,5.71772727272727,163.25044089173
May.2018,0.51449962,5.47227272727273,174.204132089223
May.2019,0.83173064,5.13735454545455,175.389977259433
May.2020,1.22866507,4.4295,118.067454714367
May.2021,1.6082087,4.99,175.384762617065
May.2022,2.23609855,7.92363636363636,179.835600956252
Nov.2017,7.34542336,5.2997619047619,162.051803448934
Nov.2018,4.67583709,5.727,170.243016894333
Nov.2019,3.59027962,4.23969,174.208227268035
Nov.2020,4.086022761,4.01450476190476,170.696016490821
Nov.2021,4.32417888,5.86571428571429,176.988367384525
Oct.2017,4.48166121,5.26331818181818,164.871850181268
Oct.2018,6.65669536,5.73181818181818,171.600551779363
Oct.2019,4.4944286,4.07454285714286,176.265988933133
Oct.2020,9.74069525,4.20545454545454,170.674936266981
Oct.2021,5.47634395,5.9495,178.716319047069
Sep.2017,3.98355728,5.34190476190476,164.18152164733
Sep.2018,4.82687081,5.5175,168.103805838727
Sep.2019,4.78900618,4.15212380952381,172.366526636492
Sep.2020,6.75661975,4.18681818181818,162.392082404056
Sep.2021,8.01321913,6.34227272727273,178.562177171756
